Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
external_long_Flavi_E1_1_Mammalia_1	169	79	344	0	0	0	0	0	47
external_long_Flavi_E1_1_Mammalia_2	124	0	455	0	0	0	0	0	63
external_long_Flavi_E1_1_Mammalia_3	124	0	442	0	0	0	0	0	45
external_long_Flavi_E1_1_Mammalia_4	205	0	429	0	0	0	0	0	83
external_long_Flavi_E1_1_Mammalia_5	22	0	150	0	0	0	0	0	0
external_long_Flavi_E1_2_Homo_sapiens_1	0	120	492	0	114	0	0	0	0
external_long_Flavi_E1_2_Homo_sapiens_2	0	0	321	0	184	0	142	0	0
external_long_Flavi_E1_2_Homo_sapiens_3	0	0	194	0	164	0	0	0	0
external_long_Flavi_E1_2_Mammalia_1	0	0	562	0	309	0	146	0	115
external_long_Flavi_E1_5_Mammalia_1	0	100	292	0	135	0	0	0	121
external_long_Flavi_E2_1_Mammalia_1	0	138	181	0	0	0	0	32	0
external_long_Flavi_E2_2_Mammalia_1	0	0	77	0	37	0	61	0	0
external_long_Flavi_E2_3_Homo_sapiens_1	0	57	107	0	54	0	52	0	57
external_long_Flavi_E2_4_Homo_sapiens_1	25	0	363	0	59	0	0	0	70
external_long_Flavi_E2_4_Homo_sapiens_10	36	0	276	0	100	0	67	0	67
external_long_Flavi_E2_4_Homo_sapiens_11	22	0	207	0	144	0	71	0	42
external_long_Flavi_E2_4_Homo_sapiens_12	35	0	243	0	107	0	92	0	50
external_long_Flavi_E2_4_Homo_sapiens_13	21	0	178	0	129	0	99	0	80
external_long_Flavi_E2_4_Homo_sapiens_14	34	0	254	0	148	0	0	0	37
external_long_Flavi_E2_4_Homo_sapiens_15	0	0	278	0	93	0	107	0	67
external_long_Flavi_E2_4_Homo_sapiens_16	45	0	272	0	223	0	133	0	127
external_long_Flavi_E2_4_Homo_sapiens_17	44	65	228	0	0	0	101	0	64
external_long_Flavi_E2_4_Homo_sapiens_18	48	0	270	0	0	0	69	55	87
external_long_Flavi_E2_4_Homo_sapiens_19	29	63	164	0	104	0	64	0	105
external_long_Flavi_E2_4_Homo_sapiens_2	30	86	301	0	170	0	0	0	71
external_long_Flavi_E2_4_Homo_sapiens_20	31	0	256	0	120	0	0	0	67
external_long_Flavi_E2_4_Homo_sapiens_21	33	0	311	0	246	0	80	0	113
external_long_Flavi_E2_4_Homo_sapiens_22	0	0	253	0	128	0	85	0	31
external_long_Flavi_E2_4_Homo_sapiens_23	0	0	313	0	247	0	152	0	38
external_long_Flavi_E2_4_Homo_sapiens_24	0	0	238	0	123	0	0	0	115
external_long_Flavi_E2_4_Homo_sapiens_25	0	0	345	0	129	0	0	0	66
external_long_Flavi_E2_4_Homo_sapiens_26	0	0	278	0	102	0	93	0	81
external_long_Flavi_E2_4_Homo_sapiens_27	0	0	219	0	133	0	0	0	146
external_long_Flavi_E2_4_Homo_sapiens_28	0	0	267	0	125	0	89	0	47
external_long_Flavi_E2_4_Homo_sapiens_29	0	0	166	0	130	0	160	0	0
external_long_Flavi_E2_4_Homo_sapiens_3	33	0	383	0	204	0	119	0	72
external_long_Flavi_E2_4_Homo_sapiens_30	24	0	102	0	224	0	127	0	63
external_long_Flavi_E2_4_Homo_sapiens_31	18	0	131	0	139	0	77	0	89
external_long_Flavi_E2_4_Homo_sapiens_32	0	0	250	0	119	0	0	0	133
external_long_Flavi_E2_4_Homo_sapiens_33	0	0	206	0	99	0	72	0	132
external_long_Flavi_E2_4_Homo_sapiens_34	0	0	439	0	141	0	0	0	151
external_long_Flavi_E2_4_Homo_sapiens_35	0	0	260	0	168	0	0	0	129
external_long_Flavi_E2_4_Homo_sapiens_36	0	0	231	0	105	0	84	0	32
external_long_Flavi_E2_4_Homo_sapiens_37	29	0	240	0	83	0	54	0	121
external_long_Flavi_E2_4_Homo_sapiens_38	0	0	218	0	134	0	89	0	65
external_long_Flavi_E2_4_Homo_sapiens_39	0	0	368	0	0	0	70	0	90
external_long_Flavi_E2_4_Homo_sapiens_4	39	0	326	0	0	0	72	0	47
external_long_Flavi_E2_4_Homo_sapiens_40	23	0	284	0	0	0	92	0	65
external_long_Flavi_E2_4_Homo_sapiens_41	0	0	236	0	121	0	76	0	117
external_long_Flavi_E2_4_Homo_sapiens_42	0	0	228	0	123	0	0	0	146
external_long_Flavi_E2_4_Homo_sapiens_43	23	0	280	0	83	0	71	0	133
external_long_Flavi_E2_4_Homo_sapiens_44	21	0	271	0	129	0	0	0	52
external_long_Flavi_E2_4_Homo_sapiens_45	0	0	279	0	89	0	104	0	0
external_long_Flavi_E2_4_Homo_sapiens_46	0	0	162	0	146	0	124	0	57
external_long_Flavi_E2_4_Homo_sapiens_47	0	0	224	0	135	0	0	0	142
external_long_Flavi_E2_4_Homo_sapiens_48	0	0	265	0	139	0	0	0	107
external_long_Flavi_E2_4_Homo_sapiens_49	0	0	248	0	127	0	75	0	133
external_long_Flavi_E2_4_Homo_sapiens_5	38	0	253	0	205	0	62	0	77
external_long_Flavi_E2_4_Homo_sapiens_50	0	0	190	0	107	0	62	0	110
external_long_Flavi_E2_4_Homo_sapiens_51	0	0	174	0	120	0	65	0	144
external_long_Flavi_E2_4_Homo_sapiens_52	0	0	162	0	91	0	106	0	100
external_long_Flavi_E2_4_Homo_sapiens_6	27	0	256	0	101	0	56	0	56
external_long_Flavi_E2_4_Homo_sapiens_7	34	0	209	0	115	0	58	0	89
external_long_Flavi_E2_4_Homo_sapiens_8	28	0	240	0	150	0	64	0	71
external_long_Flavi_E2_4_Homo_sapiens_9	36	0	223	0	134	0	78	0	51
external_long_Flavi_E2_4_Unclassified_1	18	0	100	0	83	0	93	0	91
external_long_Flavi_E2_7_Homo_sapiens_1	50	0	299	0	157	0	0	0	63
external_long_Flavi_E2_7_Homo_sapiens_2	0	0	223	33	101	0	0	0	0
external_long_Flavi_E2_7_Mammalia_1	41	112	299	0	112	0	0	0	111
external_long_Flavi_E_1_Insecta_1	0	0	0	0	0	0	0	93	74
external_long_Flavi_E_2_Arachnida_1	62	0	198	0	0	0	0	435	154
external_long_Flavi_E_2_Arachnida_2	53	0	254	0	0	0	0	184	72
external_long_Flavi_E_2_Aves_1	0	0	0	0	0	0	0	536	161
external_long_Flavi_E_2_Homo_sapiens_1	50	0	246	0	175	84	0	198	125
external_long_Flavi_E_2_Homo_sapiens_2	0	0	0	0	0	0	0	950	319
external_long_Flavi_E_2_Homo_sapiens_3	0	0	234	0	0	76	0	402	180
external_long_Flavi_E_2_Homo_sapiens_4	0	0	226	0	0	68	0	280	246
external_long_Flavi_E_2_Homo_sapiens_5	51	0	181	0	0	0	0	435	113
external_long_Flavi_E_2_Homo_sapiens_6	84	0	262	0	0	68	0	655	177
external_long_Flavi_E_2_Homo_sapiens_7	0	0	0	0	0	0	0	425	125
external_long_Flavi_E_2_Insecta_1	100	0	362	0	372	108	173	745	251
external_long_Flavi_E_2_Insecta_2	169	0	357	0	0	160	0	980	378
external_long_Flavi_E_2_Insecta_3	44	0	0	0	131	67	0	230	73
external_long_Flavi_E_2_Mammalia_1	56	0	165	0	102	0	43	69	89
external_long_Flavi_E_2_Unclassified_1	40	0	191	0	0	47	76	258	145
external_long_Flavi_E_2_Unclassified_2	51	0	255	0	0	0	0	299	99
external_long_Flavi_E_2_Unclassified_3	0	0	0	0	0	0	0	650	213
external_long_Flavi_NS1_1_Insecta_1	0	287	282	0	0	0	0	117	71
external_long_Flavi_NS1_2_Arachnida_1	60	0	190	0	219	30	87	62	67
external_long_Flavi_NS1_2_Homo_sapiens_1	57	0	243	0	0	0	139	70	143
external_long_Flavi_NS1_2_Homo_sapiens_2	89	0	304	0	0	0	148	109	225
external_long_Flavi_NS1_2_Homo_sapiens_3	51	0	251	0	0	0	86	126	179
external_long_Flavi_NS1_2_Homo_sapiens_4	31	0	315	0	0	0	121	0	215
external_long_Flavi_NS1_2_Homo_sapiens_5	104	138	281	0	145	54	0	194	224
external_long_Flavi_NS1_2_Homo_sapiens_6	42	0	170	0	0	0	0	124	155
external_long_Flavi_NS1_2_Insecta_1	99	59	239	16	272	88	117	251	156
external_long_Flavi_NS1_2_Insecta_2	111	0	138	0	207	0	0	226	84
external_long_Flavi_NS1_2_Insecta_3	21	0	85	0	65	19	0	41	15
external_long_Flavi_NS1_2_Mammalia_1	49	0	128	0	84	0	62	0	38
external_long_Flavi_NS1_2_Unclassified_1	65	0	197	0	135	0	70	157	170
external_long_Flavi_NS1_2_Unclassified_2	81	0	330	0	0	0	159	135	292
external_long_Flavi_NS1_2_Unclassified_3	14	0	64	0	0	0	0	0	46
external_long_Flavi_NS2A_1_Arachnida_1	28	0	375	0	0	0	0	132	50
external_long_Flavi_NS2A_1_Homo_sapiens_1	0	0	104	0	0	0	0	56	0
external_long_Flavi_NS2A_1_Mammalia_1	0	0	227	0	0	0	0	80	0
external_long_Flavi_NS2A_2_Homo_sapiens_1	39	0	187	0	152	0	69	121	61
external_long_Flavi_NS2A_2_Homo_sapiens_2	36	0	246	0	0	0	104	133	183
external_long_Flavi_NS2A_2_Homo_sapiens_3	37	0	221	0	0	0	151	75	152
external_long_Flavi_NS2A_2_Homo_sapiens_4	88	0	604	0	0	0	189	223	290
external_long_Flavi_NS2A_2_Homo_sapiens_5	45	0	245	0	113	0	71	68	99
external_long_Flavi_NS2A_2_Insecta_1	11	11	42	9	221	17	89	108	159
external_long_Flavi_NS2A_2_Insecta_2	60	1	141	14	339	68	144	139	195
external_long_Flavi_NS2A_2_Mammalia_1	17	0	80	0	93	35	34	0	60
external_long_Flavi_NS2A_2_Unclassified_1	41	0	256	0	82	0	74	61	66
external_long_Flavi_NS2A_2_Unclassified_2	57	0	360	0	131	0	95	202	49
external_long_Flavi_NS2B_1_Insecta_1	30	0	187	0	0	0	0	144	0
external_long_Flavi_NS2B_1_Unclassified_1	0	0	36	0	0	0	46	141	0
external_long_Flavi_NS2B_3_Homo_sapiens_1	22	33	357	3	18	14	65	10	84
external_long_Flavi_NS2B_3_Homo_sapiens_2	9	37	173	1	76	10	23	52	33
external_long_Flavi_NS2B_3_Unclassified_1	9	0	39	0	50	0	28	0	21
external_long_Flavi_NS2B_5_Arachnida_1	0	0	60	0	0	0	0	92	0
external_long_Flavi_NS2_1_Mammalia_1	0	154	114	0	0	0	0	131	223
external_long_Flavi_NS2_3_1_Mammalia_1	71	0	506	0	99	77	0	0	94
external_long_Flavi_NS2_3_1_Mammalia_2	50	0	520	0	0	56	0	0	110
external_long_Flavi_NS2_3_1_Mammalia_3	14	0	153	0	0	43	0	26	15
external_long_Flavi_NS3_1_Arachnida_1	107	27	236	21	227	112	81	77	65
external_long_Flavi_NS3_1_Arachnida_2	0	0	171	27	84	37	0	0	24
external_long_Flavi_NS3_1_Aves_1	46	102	118	0	0	86	0	330	89
external_long_Flavi_NS3_1_Aves_2	38	0	65	0	0	28	61	117	109
external_long_Flavi_NS3_1_Homo_sapiens_1	109	0	243	0	0	69	0	271	193
external_long_Flavi_NS3_1_Homo_sapiens_2	113	0	157	0	0	116	96	419	200
external_long_Flavi_NS3_1_Homo_sapiens_3	66	0	265	0	0	57	70	160	171
external_long_Flavi_NS3_1_Homo_sapiens_4	38	0	253	0	0	51	0	177	230
external_long_Flavi_NS3_1_Homo_sapiens_5	75	0	309	0	0	113	0	315	171
external_long_Flavi_NS3_1_Homo_sapiens_6	78	0	233	0	0	0	0	325	195
external_long_Flavi_NS3_1_Homo_sapiens_7	61	26	27	19	83	47	63	294	69
external_long_Flavi_NS3_1_Homo_sapiens_8	0	0	91	31	0	17	26	81	25
external_long_Flavi_NS3_1_Insecta_1	70	0	321	0	0	0	0	220	145
external_long_Flavi_NS3_1_Insecta_2	102	58	52	54	230	110	78	265	149
external_long_Flavi_NS3_1_Insecta_3	145	77	223	128	195	339	29	1264	509
external_long_Flavi_NS3_1_Insecta_4	192	0	196	0	315	289	0	614	362
external_long_Flavi_NS3_1_Mammalia_1	158	0	391	0	0	111	143	146	139
external_long_Flavi_NS3_1_Unclassified_1	69	31	309	11	154	139	71	259	199
external_long_Flavi_NS3_1_Unclassified_2	66	0	101	0	175	51	0	148	192
external_long_Flavi_NS3_1_Unclassified_3	122	127	152	69	32	270	54	694	466
external_long_Flavi_NS4A_1_Homo_sapiens_1	0	0	304	0	0	0	0	328	91
external_long_Flavi_NS4A_1_Homo_sapiens_2	0	0	191	0	0	0	0	203	149
external_long_Flavi_NS4A_1_Insecta_1	13	63	206	11	47	48	20	141	34
external_long_Flavi_NS4A_1_Unclassified_1	0	0	285	0	0	37	0	0	108
external_long_Flavi_NS4A_2_Arachnida_1	7	9	101	5	23	1	3	58	33
external_long_Flavi_NS4A_2_Mammalia_1	0	0	134	0	0	0	0	42	13
external_long_Flavi_NS4B_1_Mammalia_1	0	0	279	0	0	0	0	0	110
external_long_Flavi_NS4B_2_Arachnida_1	0	0	153	0	0	42	0	164	69
external_long_Flavi_NS4B_2_Homo_sapiens_1	0	0	0	0	0	18	0	108	65
external_long_Flavi_NS4B_2_Mammalia_1	0	0	198	0	0	0	0	133	118
external_long_Flavi_NS4B_3_Arachnida_1	18	0	51	0	59	0	0	37	0
external_long_Flavi_NS4B_3_Aves_1	0	0	87	20	0	20	0	69	47
external_long_Flavi_NS4B_3_Homo_sapiens_1	0	0	153	34	133	0	96	165	41
external_long_Flavi_NS4B_3_Homo_sapiens_2	65	0	357	0	0	0	0	136	80
external_long_Flavi_NS4B_3_Homo_sapiens_3	50	0	320	0	0	0	102	106	180
external_long_Flavi_NS4B_3_Homo_sapiens_4	59	0	178	0	0	54	0	160	188
external_long_Flavi_NS4B_3_Insecta_1	77	0	224	0	147	81	0	294	96
external_long_Flavi_NS4B_3_Insecta_2	49	0	272	0	95	50	0	66	123
external_long_Flavi_NS4B_3_Insecta_3	28	7	176	26	9	14	11	195	110
external_long_Flavi_NS4B_3_Mammalia_1	23	0	30	0	0	0	17	51	27
external_long_Flavi_NS4B_3_Unclassified_1	38	0	213	0	0	45	80	154	105
external_long_Flavi_NS4B_3_Unclassified_2	0	0	125	0	0	0	0	60	53
external_long_Flavi_NS4B_5_Homo_sapiens_1	0	0	165	0	59	0	0	100	0
external_long_Flavi_NS4B_5_Mammalia_1	0	270	304	0	0	0	0	0	0
external_long_Flavi_NS5A_1_Homo_sapiens_1	0	200	346	0	0	0	0	0	138
external_long_Flavi_NS5A_1_Mammalia_1	0	146	518	0	0	0	0	0	118
external_long_Flavi_NS5B_1_Mammalia_1	74	0	310	0	0	0	99	0	134
external_long_Flavi_NS5B_1_Mammalia_10	66	0	472	0	0	0	79	0	199
external_long_Flavi_NS5B_1_Mammalia_11	32	5	302	5	21	65	53	46	123
external_long_Flavi_NS5B_1_Mammalia_2	55	0	306	0	0	0	155	96	90
