Samples	SBS1	SBS2	SBS3	SBS5	SBS10b	SBS12	SBS16	SBS17a	SBS17b	SBS32	SBS48	SBS85	SBS96D	SBS96H
external_long_Calici_VP10_2_Mammalia_1	13	0	0	0	0	64	75	0	0	91	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_1	24	40	0	169	0	0	138	71	0	0	0	0	0	161
external_long_Calici_VP1_2_Homo_sapiens_2	8	0	0	210	0	308	0	0	0	60	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_3	10	0	0	210	0	291	0	0	0	139	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_4	30	0	0	0	0	305	178	0	0	104	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_5	62	0	0	368	0	548	292	0	0	183	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_6	38	0	0	0	0	449	248	0	0	195	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_7	33	0	0	0	0	294	162	0	0	157	0	0	0	0
external_long_Calici_VP1_2_Homo_sapiens_8	19	0	0	0	0	258	202	0	0	153	0	0	0	0
external_long_Calici_VP1_2_Mammalia_1	42	0	0	219	38	176	0	51	0	123	0	0	0	0
external_long_Calici_VP1_2_Mammalia_2	33	0	0	0	39	215	81	45	0	129	0	0	0	0
external_long_Calici_VP1_2_Unclassified_1	22	18	0	0	0	82	62	0	0	50	0	0	0	0
external_long_Calici_VP2_3_Homo_sapiens_1	0	0	0	184	0	219	0	0	0	0	0	0	0	371
external_long_Calici_VP2_3_Homo_sapiens_2	11	0	0	166	0	0	156	0	0	0	0	0	0	335
external_long_Calici_VP2_3_Homo_sapiens_3	6	0	0	174	0	224	0	0	0	0	0	0	0	272
external_long_Calici_VP2_3_Homo_sapiens_4	9	0	0	208	0	0	117	0	0	0	0	0	0	388
external_long_Calici_VP2_3_Homo_sapiens_5	12	0	0	74	0	0	287	0	0	0	0	0	0	480
external_long_Calici_VP2_3_Homo_sapiens_6	0	0	0	6	16	61	0	0	0	44	0	0	0	0
external_long_Calici_VP2_3_Mammalia_1	8	0	0	52	0	48	0	0	0	0	0	0	0	49
external_long_Calici_VP2_4_Mammalia_1	2	0	0	21	0	153	49	0	0	74	0	0	0	0
external_long_Calici_VP60_2_Mammalia_1	20	44	0	153	0	324	0	0	0	0	0	0	0	146
external_long_Calici_VPG_2_Mammalia_1	3	0	0	22	0	39	0	0	0	0	0	0	0	85
external_long_Corona_3B_1_Aves_1	3	0	0	168	0	0	52	32	0	91	0	0	0	0
external_long_Corona_4B_1_Aves_1	0	0	0	554	0	0	0	0	0	0	0	0	0	0
external_long_Corona_5A_1_Aves_1	8	0	0	203	0	0	95	0	0	93	0	0	0	0
external_long_Corona_5B_1_Aves_1	4	0	0	48	0	0	127	0	0	61	0	80	0	0
external_long_Corona_6B_1_Aves_1	0	0	0	39	0	0	0	0	0	35	0	19	0	0
external_long_Corona_E_1_Aves_1	6	0	0	230	0	0	0	0	0	0	0	0	0	0
external_long_Corona_E_2_Mammalia_1	8	14	38	34	0	0	20	0	0	0	0	0	0	0
external_long_Corona_HE_1_Mammalia_1	7	0	0	1267	0	0	0	0	0	0	0	0	0	0
external_long_Corona_M_1_Aves_1	0	0	0	398	0	0	0	0	0	0	0	0	0	172
external_long_Corona_M_2_Aves_1	0	0	0	602	0	0	0	0	0	0	0	0	0	0
external_long_Corona_M_2_Aves_2	0	0	0	242	0	133	108	0	0	78	0	0	0	0
external_long_Corona_M_2_Aves_3	0	0	0	475	0	0	120	0	0	0	0	0	0	0
external_long_Corona_M_2_Aves_4	0	0	0	121	0	0	79	0	0	55	0	0	0	0
external_long_Corona_M_2_Mammalia_1	0	0	0	271	0	142	188	0	0	83	0	0	0	0
external_long_Corona_M_2_Mammalia_2	0	54	0	248	0	0	93	0	0	117	0	122	0	86
external_long_Corona_M_2_Mammalia_3	0	0	0	544	0	0	0	0	0	0	0	0	0	0
external_long_Corona_M_2_Unclassified_1	0	0	0	132	0	0	0	0	0	0	0	0	0	0
external_long_Corona_M_3_Mammalia_1	43	0	0	193	0	168	103	0	0	94	0	0	0	0
external_long_Corona_M_3_Mammalia_2	10	0	0	567	0	0	0	0	0	0	0	0	0	0
external_long_Corona_M_3_Mammalia_3	20	0	0	213	0	0	51	0	0	51	0	0	0	95
external_long_Corona_NS2A_1_Mammalia_1	7	0	0	53	0	26	36	0	0	0	0	0	0	0
external_long_Corona_NS3_1_Mammalia_1	44	0	0	650	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NS3_2_Mammalia_1	8	0	0	168	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NS6_1_Aves_1	30	0	152	0	0	77	0	0	0	63	0	0	0	0
external_long_Corona_NS7B_1_Mammalia_1	14	37	0	155	0	131	126	0	0	108	0	0	0	0
external_long_Corona_NS7C_1_Aves_1	2	58	0	433	0	0	0	94	44	0	0	0	0	0
external_long_Corona_NSP10_1_Aves_1	29	0	0	582	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP10_4_Aves_1	27	0	0	552	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP10_4_Aves_2	36	0	0	232	0	179	0	0	0	137	0	0	0	0
external_long_Corona_NSP10_5_Mammalia_1	0	0	0	34	26	53	36	0	0	41	0	0	0	0
external_long_Corona_NSP10_6_Mammalia_1	9	0	0	105	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP11_1_Aves_1	63	0	0	0	0	155	188	0	0	227	0	0	0	0
external_long_Corona_NSP11_1_Aves_2	18	0	0	49	0	0	97	0	0	58	0	0	0	0
external_long_Corona_NSP11_2_Aves_1	0	0	0	202	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP12_2_Aves_1	1	0	0	25	0	45	39	0	0	40	0	0	0	0
external_long_Corona_NSP12_5_Mammalia_1	22	0	0	49	0	93	111	0	0	98	0	0	0	0
external_long_Corona_NSP12_6_Aves_1	7	0	0	556	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP13_3_Aves_1	20	0	0	342	0	0	74	54	0	127	0	0	0	0
external_long_Corona_NSP13_4_Mammalia_1	14	0	0	77	0	48	0	0	0	0	0	0	0	0
external_long_Corona_NSP13_6_Aves_1	21	0	0	142	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP13_8_Mammalia_1	15	0	0	69	0	0	84	25	0	45	0	0	0	63
external_long_Corona_NSP14_1_Mammalia_1	28	0	0	0	0	84	105	0	0	55	0	0	0	0
external_long_Corona_NSP16_3_Mammalia_1	8	0	0	30	0	95	46	0	0	75	0	0	0	0
external_long_Corona_NSP1_2_Aves_1	24	0	0	553	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP2_2_Mammalia_1	21	0	0	151	0	118	66	0	0	94	0	0	0	0
external_long_Corona_NSP2_4_Aves_1	0	0	0	581	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP2_7_Aves_1	0	0	0	295	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP3_3_Aves_1	0	0	0	499	57	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP3_3_Aves_2	0	0	0	472	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP4_5_Mammalia_1	14	51	0	113	0	122	53	0	0	46	0	0	0	0
external_long_Corona_NSP5_1_Aves_1	12	0	0	419	0	218	0	0	0	120	0	0	0	0
external_long_Corona_NSP5_1_Aves_2	0	0	0	312	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP7_1_Mammalia_1	0	14	0	0	0	33	38	0	0	27	0	0	0	0
external_long_Corona_NSP9_2_Aves_1	21	0	0	56	0	68	59	0	0	81	0	0	0	0
external_long_Corona_NSP9_3_Mammalia_1	0	20	0	87	0	0	65	0	0	32	0	0	0	0
external_long_Corona_NSP9_4_Aves_1	2	0	0	213	0	0	0	0	0	0	0	0	0	0
external_long_Corona_NSP9_5_Aves_1	4	0	0	566	0	0	0	0	0	0	0	0	0	0
external_long_Corona_N_1_Aves_1	7	0	225	384	0	0	0	0	0	0	0	0	0	0
external_long_Corona_N_1_Aves_2	5	0	0	314	0	122	195	0	0	0	0	0	0	0
external_long_Corona_N_1_Mammalia_1	0	0	0	110	0	0	0	0	0	0	0	0	0	0
external_long_Corona_N_2_Aves_1	0	90	0	248	0	252	0	0	0	125	0	0	0	0
external_long_Corona_N_2_Aves_2	0	48	0	227	0	212	0	0	0	0	0	223	0	0
external_long_Corona_N_2_Aves_3	0	0	0	546	0	0	0	0	0	0	0	235	0	0
external_long_Corona_N_2_Aves_4	9	0	0	360	0	180	0	0	0	0	0	356	0	0
external_long_Corona_N_2_Aves_5	0	0	0	263	0	133	0	0	0	0	0	227	0	0
external_long_Corona_N_2_Mammalia_1	0	0	0	757	0	0	0	0	0	0	0	228	0	0
external_long_Corona_N_2_Mammalia_2	0	0	0	1354	0	0	0	0	0	0	0	435	0	0
external_long_Corona_N_2_Mammalia_3	0	0	0	1566	0	0	0	0	0	0	0	434	0	0
external_long_Corona_N_2_Mammalia_4	0	0	0	1157	0	207	0	0	0	0	0	358	0	0
external_long_Corona_N_2_Mammalia_5	13	0	0	147	0	148	211	0	0	0	0	0	0	0
external_long_Corona_N_2_Unclassified_1	5	0	0	160	0	0	0	0	0	0	0	94	0	0
external_long_Corona_ORF1B_1_Mammalia_1	3	0	0	163	0	0	0	0	0	0	0	0	0	0
external_long_Corona_ORF3A_1_Mammalia_1	0	0	0	519	0	0	0	0	0	0	0	0	0	0
external_long_Corona_ORF3A_2_Mammalia_1	6	0	0	209	0	0	149	0	0	55	0	92	0	0
external_long_Corona_ORF3C_1_Mammalia_1	9	0	0	62	0	114	102	0	0	97	0	0	0	0
external_long_Corona_ORF3_1_Mammalia_1	5	0	0	12	0	63	71	0	0	35	0	0	0	0
external_long_Corona_ORF4B_1_Mammalia_1	5	0	196	205	68	114	88	0	0	0	41	0	0	0
external_long_Corona_ORF4B_1_Mammalia_2	0	0	0	32	0	0	37	0	0	40	0	0	0	0
external_long_Corona_ORF4B_1_Unclassified_1	1	0	0	296	0	0	0	0	0	0	0	0	0	0
external_long_Corona_ORF5_1_Mammalia_1	0	0	0	430	0	0	0	0	0	0	0	0	0	0
external_long_Corona_ORF5_1_Unclassified_1	3	0	0	107	0	0	0	0	0	0	0	0	0	0
external_long_Corona_P87_1_Aves_1	2	0	0	514	0	0	0	0	0	0	0	0	0	0
external_long_Corona_P87_2_Aves_1	8	0	0	452	0	0	115	0	0	0	0	0	0	0
external_long_Corona_P87_2_Aves_2	6	0	0	134	0	71	73	0	0	93	0	0	0	0
external_long_Filo_L_1_Homo_sapiens_1	8	0	0	318	0	0	0	0	0	0	0	0	0	0
external_long_Filo_L_1_Mammalia_1	4	0	0	68	0	47	0	0	0	31	0	0	0	0
external_long_Filo_NP_1_Homo_sapiens_1	20	0	0	85	39	192	0	0	0	91	0	0	0	143
external_long_Filo_VP30_2_Homo_sapiens_1	10	0	0	0	0	85	0	0	0	43	0	0	0	0
external_long_Filo_VP35_1_Homo_sapiens_1	8	0	0	194	0	0	0	0	0	0	0	0	0	43
external_long_Filo_VP35_1_Mammalia_1	11	0	0	64	13	33	0	0	0	0	0	0	18	70
external_long_Filo_VP40_2_Homo_sapiens_1	12	0	0	64	0	90	0	0	0	0	0	0	0	55
external_long_Flavi_ANCC_4_Homo_sapiens_1	6	0	0	56	0	0	110	0	0	0	0	0	0	468
external_long_Flavi_C_1_Mammalia_1	29	0	0	467	0	179	0	0	0	0	0	0	0	0
external_long_Flavi_C_1_Mammalia_2	17	0	0	518	0	178	0	0	0	0	0	0	0	0
external_long_Flavi_C_1_Mammalia_3	2	0	0	124	0	66	0	0	0	0	0	0	0	0
external_long_Flavi_C_3_Mammalia_1	3	0	0	103	0	246	0	0	0	0	0	0	0	195
external_long_Flavi_C_4_Homo_sapiens_1	1	0	0	150	0	158	0	0	0	51	0	86	0	0
external_long_Flavi_E1_1_Mammalia_1	115	38	0	226	0	260	0	0	0	0	0	0	0	0
external_long_Flavi_E1_1_Mammalia_2	73	0	0	343	0	226	0	0	0	0	0	0	0	0
external_long_Flavi_E1_1_Mammalia_3	82	39	0	206	0	284	0	0	0	0	0	0	0	0
external_long_Flavi_E1_1_Mammalia_4	126	69	0	239	0	283	0	0	0	0	0	0	0	0
external_long_Flavi_E1_1_Mammalia_5	19	21	0	42	0	90	0	0	0	0	0	0	0	0
external_long_Flavi_E1_2_Homo_sapiens_1	0	0	0	640	0	0	0	86	0	0	0	0	0	0
external_long_Flavi_E1_2_Homo_sapiens_2	0	0	0	207	0	0	0	116	0	169	0	155	0	0
external_long_Flavi_E1_2_Homo_sapiens_3	0	0	0	148	0	82	0	69	0	59	0	0	0	0
external_long_Flavi_E1_2_Mammalia_1	0	0	0	512	0	338	0	152	0	130	0	0	0	0
external_long_Flavi_E1_5_Mammalia_1	0	0	0	340	0	308	0	0	0	0	0	0	0	0
external_long_Flavi_E2_1_Mammalia_1	0	0	0	266	0	0	0	0	0	0	0	0	0	85
external_long_Flavi_E2_2_Mammalia_1	0	14	0	52	0	73	0	0	0	36	0	0	0	0
external_long_Flavi_E2_3_Homo_sapiens_1	3	25	0	52	0	142	61	0	0	44	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_1	15	0	0	138	0	305	0	0	0	59	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_10	22	0	0	164	0	284	0	0	0	76	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_11	13	0	0	272	0	201	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_12	22	0	0	308	0	197	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_13	7	0	0	345	0	155	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_14	25	0	0	105	0	249	0	43	0	51	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_15	10	0	0	307	0	228	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_16	22	44	0	329	0	329	0	0	0	76	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_17	23	0	0	190	0	221	0	0	0	68	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_18	28	0	0	98	0	316	0	0	0	87	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_19	21	0	0	71	0	257	90	0	0	90	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_2	17	0	0	223	0	295	0	61	0	62	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_20	20	0	0	223	0	231	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_21	21	42	0	387	0	333	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_22	1	0	0	369	0	127	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_23	0	0	0	533	0	156	0	61	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_24	6	0	0	124	0	236	54	0	0	56	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_25	2	0	0	208	0	259	0	0	0	71	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_26	11	38	0	149	0	291	0	0	0	65	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_27	8	29	0	137	0	224	100	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_28	0	0	0	472	0	0	0	56	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_29	0	0	0	456	0	0	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_3	16	0	0	257	0	340	0	60	0	138	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_30	9	44	0	363	0	124	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_31	4	0	0	307	0	143	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_32	7	0	0	125	0	255	64	0	0	51	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_33	3	0	0	70	0	236	102	0	0	98	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_34	6	38	0	358	0	329	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_35	5	0	0	315	0	237	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_36	6	0	0	316	0	130	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_37	14	0	0	300	0	213	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_38	7	0	0	330	0	169	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_39	4	0	0	330	0	194	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_4	24	0	0	106	0	281	0	0	0	73	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_40	8	0	0	292	0	164	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_41	7	0	0	330	0	213	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_42	8	35	0	131	0	225	98	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_43	8	0	0	122	0	286	72	0	0	102	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_44	10	0	0	140	0	249	0	0	0	74	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_45	0	0	0	190	0	198	0	0	0	84	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_46	2	31	0	165	0	203	0	0	0	88	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_47	7	0	0	58	0	273	95	0	0	68	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_48	2	0	0	274	0	235	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_49	3	0	0	352	0	228	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_5	18	0	0	368	0	197	0	52	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_50	0	0	0	270	0	199	0	0	0	0	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_51	11	0	0	102	0	220	105	0	0	65	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_52	0	0	0	158	0	176	59	0	0	66	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_6	11	0	0	180	0	236	0	0	0	69	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_7	22	0	0	194	0	245	0	0	0	44	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_8	15	0	0	156	0	252	0	46	0	84	0	0	0	0
external_long_Flavi_E2_4_Homo_sapiens_9	24	0	0	109	0	250	0	38	0	101	0	0	0	0
external_long_Flavi_E2_4_Unclassified_1	7	0	0	61	0	152	77	0	0	88	0	0	0	0
external_long_Flavi_E2_7_Homo_sapiens_1	30	0	0	195	0	271	0	0	0	73	0	0	0	0
external_long_Flavi_E2_7_Homo_sapiens_2	7	0	0	350	0	0	0	0	0	0	0	0	0	0
external_long_Flavi_E2_7_Mammalia_1	23	0	0	304	0	260	88	0	0	0	0	0	0	0
external_long_Flavi_E_1_Insecta_1	1	0	0	0	0	0	62	0	0	0	0	0	0	104
external_long_Flavi_E_2_Arachnida_1	40	0	0	248	0	140	0	0	0	0	0	0	0	421
external_long_Flavi_E_2_Arachnida_2	34	0	0	189	0	130	0	0	0	0	0	0	0	210
external_long_Flavi_E_2_Aves_1	19	0	0	86	0	0	113	0	0	0	0	0	0	479
external_long_Flavi_E_2_Homo_sapiens_1	38	0	0	219	71	0	102	112	0	0	0	0	0	336
external_long_Flavi_E_2_Homo_sapiens_2	23	0	0	4	0	0	250	0	0	0	0	0	0	992
external_long_Flavi_E_2_Homo_sapiens_3	15	0	0	98	84	254	0	0	0	0	0	0	0	441
external_long_Flavi_E_2_Homo_sapiens_4	28	0	0	106	0	0	241	0	0	0	0	0	0	445
external_long_Flavi_E_2_Homo_sapiens_5	30	0	0	142	0	0	88	0	0	0	0	0	0	520
external_long_Flavi_E_2_Homo_sapiens_6	67	0	0	305	0	0	130	0	0	0	0	0	0	744
external_long_Flavi_E_2_Homo_sapiens_7	10	0	0	131	0	0	0	0	0	0	0	0	0	409
external_long_Flavi_E_2_Insecta_1	65	0	0	1141	0	0	0	0	0	0	0	0	0	905
external_long_Flavi_E_2_Insecta_2	136	0	0	470	0	0	307	0	0	0	0	0	0	1131
external_long_Flavi_E_2_Insecta_3	56	0	0	173	0	0	51	0	0	0	0	0	0	265
external_long_Flavi_E_2_Mammalia_1	52	32	0	166	0	274	0	0	0	0	0	0	0	0
external_long_Flavi_E_2_Unclassified_1	22	0	0	302	0	0	100	0	0	0	0	0	0	333
external_long_Flavi_E_2_Unclassified_2	31	0	0	206	0	148	0	0	0	0	0	0	0	319
external_long_Flavi_E_2_Unclassified_3	22	0	0	0	0	0	171	0	0	0	0	0	0	670
external_long_Flavi_NS1_1_Insecta_1	14	0	0	263	0	0	145	0	0	0	0	142	0	193
external_long_Flavi_NS1_2_Arachnida_1	35	0	0	497	0	0	0	63	0	0	0	0	0	120
external_long_Flavi_NS1_2_Homo_sapiens_1	36	43	0	198	0	320	0	0	0	55	0	0	0	0
external_long_Flavi_NS1_2_Homo_sapiens_2	60	56	0	220	0	188	156	0	0	0	0	0	0	195
external_long_Flavi_NS1_2_Homo_sapiens_3	32	0	0	0	0	227	146	0	0	105	0	0	0	183
external_long_Flavi_NS1_2_Homo_sapiens_4	25	51	0	167	0	330	109	0	0	0	0	0	0	0
external_long_Flavi_NS1_2_Homo_sapiens_5	90	0	0	314	0	285	177	0	0	0	0	0	0	274
external_long_Flavi_NS1_2_Homo_sapiens_6	25	0	0	132	0	0	126	0	0	0	0	0	0	208
external_long_Flavi_NS1_2_Insecta_1	100	0	0	672	0	243	0	0	0	0	0	0	0	282
external_long_Flavi_NS1_2_Insecta_2	80	0	0	281	0	156	0	0	0	0	0	0	0	249
external_long_Flavi_NS1_2_Insecta_3	24	0	0	103	0	64	0	0	0	0	0	0	0	55
external_long_Flavi_NS1_2_Mammalia_1	38	22	0	78	0	162	0	0	0	61	0	0	0	0
external_long_Flavi_NS1_2_Unclassified_1	39	0	0	121	0	227	116	0	0	84	0	0	0	207
external_long_Flavi_NS1_2_Unclassified_2	60	66	0	195	0	226	215	0	0	0	0	0	0	235
external_long_Flavi_NS1_2_Unclassified_3	7	0	0	31	0	71	0	0	0	15	0	0	0	0
external_long_Flavi_NS2A_1_Arachnida_1	20	0	0	139	0	243	0	0	0	0	0	0	0	183
external_long_Flavi_NS2A_1_Homo_sapiens_1	6	0	0	0	0	154	0	0	0	0	0	0	0	0
external_long_Flavi_NS2A_1_Mammalia_1	4	19	0	72	0	78	0	31	0	0	0	0	0	103
external_long_Flavi_NS2A_2_Homo_sapiens_1	17	0	0	188	0	104	0	59	0	94	0	0	0	167
external_long_Flavi_NS2A_2_Homo_sapiens_2	5	0	0	102	0	0	200	0	0	124	0	0	0	271
external_long_Flavi_NS2A_2_Homo_sapiens_3	6	0	0	179	0	0	139	53	0	91	0	0	0	168
external_long_Flavi_NS2A_2_Homo_sapiens_4	23	0	0	452	0	504	0	0	0	167	0	0	0	248
external_long_Flavi_NS2A_2_Homo_sapiens_5	22	32	0	268	0	0	80	67	0	0	0	0	0	172
